uri,fullName,firstName,lastName,image,memberCode,houses,houseCodes,parties,constituencies,representTypes,committees
https://data.oireachtas.ie/ie/oireachtas/member/id/Malcolm-Noonan.D.2020-02-08,Malcolm Noonan,Malcolm,Noonan,False,Malcolm-Noonan.D.2020-02-08,27th Seanad,seanad,Green Party,Agricultural Panel,panel,
https://data.oireachtas.ie/ie/oireachtas/member/id/Evanne-Ní-Chuilinn.S.2025-01-29,Evanne Ní Chuilinn,Evanne,Ní Chuilinn,False,Evanne-Ní-Chuilinn.S.2025-01-29,27th Seanad,seanad,Fine Gael,Nominated by the Taoiseach,panel,
https://data.oireachtas.ie/ie/oireachtas/member/id/Shónagh-Ní-Raghallaigh.D.2024-11-29,Shónagh Ní Raghallaigh,Shónagh,Ní Raghallaigh,False,Shónagh-Ní-Raghallaigh.D.2024-11-29,34th Dáil,dail,Sinn Féin,Kildare South,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Darragh-O'Brien.D.2007-06-14,Darragh O'Brien,Darragh,O'Brien,False,Darragh-O'Brien.D.2007-06-14,34th Dáil,dail,Fianna Fáil,Dublin Fingal East,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Cian-O'Callaghan.D.2020-02-08,Cian O'Callaghan,Cian,O'Callaghan,False,Cian-O'Callaghan.D.2020-02-08,34th Dáil,dail,Social Democrats,Dublin Bay North,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Jim-O'Callaghan.D.2016-10-03,Jim O'Callaghan,Jim,O'Callaghan,False,Jim-O'Callaghan.D.2016-10-03,34th Dáil,dail,Fianna Fáil,Dublin Bay South,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Maeve-O'Connell.D.2024-11-29,Maeve O'Connell,Maeve,O'Connell,False,Maeve-O'Connell.D.2024-11-29,34th Dáil,dail,Fine Gael,Dublin Rathdown,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/James-O'Connor.D.2020-02-08,James O'Connor,James,O'Connor,False,James-O'Connor.D.2020-02-08,34th Dáil,dail,Fianna Fáil,Cork East,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Willie-O'Dea.D.1982-03-09,Willie O'Dea,Willie,O'Dea,False,Willie-O'Dea.D.1982-03-09,34th Dáil,dail,Fianna Fáil,Limerick City,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Kieran-O'Donnell.D.2007-06-14,Kieran O'Donnell,Kieran,O'Donnell,False,Kieran-O'Donnell.D.2007-06-14,34th Dáil,dail,Fine Gael,Limerick City,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Richard-O'Donoghue.D.2020-02-08,Richard O'Donoghue,Richard,O'Donoghue,False,Richard-O'Donoghue.D.2020-02-08,34th Dáil,dail,Independent Ireland,Limerick County,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Robert-O'Donoghue.D.2024-11-29,Robert O'Donoghue,Robert,O'Donoghue,False,Robert-O'Donoghue.D.2024-11-29,34th Dáil,dail,Labour Party,Dublin Fingal West,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Noel-O'Donovan.S.2025-01-29,Noel O'Donovan,Noel,O'Donovan,False,Noel-O'Donovan.S.2025-01-29,27th Seanad,seanad,Fine Gael,Nominated by the Taoiseach,panel,
https://data.oireachtas.ie/ie/oireachtas/member/id/Patrick-O'Donovan.D.2011-03-09,Patrick O'Donovan,Patrick,O'Donovan,False,Patrick-O'Donovan.D.2011-03-09,34th Dáil,dail,Fine Gael,Limerick County,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Ken-O'Flynn.D.2024-11-29,Ken O'Flynn,Ken,O'Flynn,False,Ken-O'Flynn.D.2024-11-29,34th Dáil,dail,Independent Ireland,Cork North-Central,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Roderic-O'Gorman.D.2020-02-08,Roderic O'Gorman,Roderic,O'Gorman,False,Roderic-O'Gorman.D.2020-02-08,34th Dáil,dail,Green Party,Dublin West,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Louis-O'Hara.D.2024-11-29,Louis O'Hara,Louis,O'Hara,False,Louis-O'Hara.D.2024-11-29,34th Dáil,dail,Sinn Féin,Galway East,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Fiona-O'Loughlin.D.2016-10-03,Fiona O'Loughlin,Fiona,O'Loughlin,False,Fiona-O'Loughlin.D.2016-10-03,27th Seanad,seanad,Fianna Fáil,Administrative Panel,panel,
https://data.oireachtas.ie/ie/oireachtas/member/id/Ryan-O'Meara.D.2024-11-29,Ryan O'Meara,Ryan,O'Meara,False,Ryan-O'Meara.D.2024-11-29,34th Dáil,dail,Fianna Fáil,Tipperary North,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Joe-O'Reilly.S.1989-10-01,Joe O'Reilly,Joe,O'Reilly,False,Joe-O'Reilly.S.1989-10-01,27th Seanad,seanad,Fine Gael,Labour Panel,panel,
https://data.oireachtas.ie/ie/oireachtas/member/id/Louise-O'Reilly.D.2016-10-03,Louise O'Reilly,Louise,O'Reilly,False,Louise-O'Reilly.D.2016-10-03,34th Dáil,dail,Sinn Féin,Dublin Fingal West,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Sarah-O'Reilly.S.2025-01-29,Sarah O'Reilly,Sarah,O'Reilly,False,Sarah-O'Reilly.S.2025-01-29,27th Seanad,seanad,Aontú,Agricultural Panel,panel,
https://data.oireachtas.ie/ie/oireachtas/member/id/Darren-O'Rourke.D.2020-02-08,Darren O'Rourke,Darren,O'Rourke,False,Darren-O'Rourke.D.2020-02-08,34th Dáil,dail,Sinn Féin,Meath East,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/John-Paul-O'Shea.D.2024-11-29,John Paul O'Shea,John Paul,O'Shea,False,John-Paul-O'Shea.D.2024-11-29,34th Dáil,dail,Fine Gael,Cork North-West,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Christopher-O'Sullivan.D.2020-02-08,Christopher O'Sullivan,Christopher,O'Sullivan,False,Christopher-O'Sullivan.D.2020-02-08,34th Dáil,dail,Fianna Fáil,Cork South-West,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Pádraig-O'Sullivan.D.2019-11-29,Pádraig O'Sullivan,Pádraig,O'Sullivan,False,Pádraig-O'Sullivan.D.2019-11-29,34th Dáil,dail,Fianna Fáil,Cork North-Central,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Liam-Quaide.D.2024-11-29,Liam Quaide,Liam,Quaide,False,Liam-Quaide.D.2024-11-29,34th Dáil,dail,Social Democrats,Cork East,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Maurice-Quinlivan.D.2016-10-03,Maurice Quinlivan,Maurice,Quinlivan,False,Maurice-Quinlivan.D.2016-10-03,34th Dáil,dail,Sinn Féin,Limerick City,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Anne-Rabbitte.D.2016-10-03,Anne Rabbitte,Anne,Rabbitte,False,Anne-Rabbitte.D.2016-10-03,27th Seanad,seanad,Fianna Fáil,Nominated by the Taoiseach,panel,
https://data.oireachtas.ie/ie/oireachtas/member/id/Pádraig-Rice.D.2024-11-29,Pádraig Rice,Pádraig,Rice,False,Pádraig-Rice.D.2024-11-29,34th Dáil,dail,Social Democrats,Cork South-Central,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Neale-Richmond.S.2016-04-25,Neale Richmond,Neale,Richmond,False,Neale-Richmond.S.2016-04-25,34th Dáil,dail,Fine Gael,Dublin Rathdown,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Peter-Roche.D.2024-11-29,Peter Roche,Peter,Roche,False,Peter-Roche.D.2024-11-29,34th Dáil,dail,Fine Gael,Galway East,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Lynn-Ruane.S.2016-04-25,Lynn Ruane,Lynn,Ruane,False,Lynn-Ruane.S.2016-04-25,27th Seanad,seanad,Independent,University of Dublin,panel,
https://data.oireachtas.ie/ie/oireachtas/member/id/Dee-Ryan.S.2025-01-29,Dee Ryan,Dee,Ryan,False,Dee-Ryan.S.2025-01-29,27th Seanad,seanad,Fianna Fáil,Nominated by the Taoiseach,panel,
https://data.oireachtas.ie/ie/oireachtas/member/id/Nicole-Ryan.S.2025-01-29,Nicole Ryan,Nicole,Ryan,False,Nicole-Ryan.S.2025-01-29,27th Seanad,seanad,Sinn Féin,Administrative Panel,panel,
